Class,Baseline IoU,MTL IoU,Improvement,Support
branching bleached,0.31883473995032924,0.46121644915045557,0.14238170920012633,1881143
massive/meandering bleached,0.4833751764160963,0.6136042871037671,0.13022911068767085,5219586
meandering bleached,0.29709764265545996,0.41429826712927353,0.11720062447381357,885850
other animal,0.09312745824965259,0.18798347195374984,0.09485601370409726,274090
fish,0.5446527694663293,0.636779968168935,0.09212719870260566,5300718
algae covered substrate,0.42892235364055964,0.49916308164093365,0.07024072800037401,68937214
table acropora alive,0.264474187503934,0.3287739472777617,0.06429975977382774,1429855
branching dead,0.26979670890479485,0.32333372462141413,0.053537015716619285,8396083
other coral alive,0.3641734609629648,0.4119574196246357,0.0477839586616709,17700984
anemone,0.29420124470366965,0.3385208799494928,0.044319635245823163,279176
sponge,0.2143995884435715,0.25600330929728027,0.04160372085370878,856660
acropora alive,0.3469864375056024,0.3868979732278516,0.0399115357222492,2649019
table acropora dead,0.0007992670594756326,0.04010021750502464,0.03930095044554901,677933
turbinaria,0.8344090740097395,0.8728535833957262,0.03844450938598665,744072
meandering dead,0.08902521789030458,0.12659896172200932,0.03757374383170474,2591307
dead clam,0.0,0.03570071050554077,0.03570071050554077,75067
massive/meandering alive,0.6405270068154967,0.663517426250585,0.022990419435088283,40545023
transect line,0.6812881029729707,0.6991811944499129,0.01789309147694218,3125978
sea cucumber,0.1828997344449264,0.20060887990452764,0.017709145459601228,119331
trash,0.0216956630925777,0.03508622785034442,0.013390564757766718,388031
pocillopora alive,0.7290454498650112,0.737590090758831,0.008544640893819788,8169378
unknown hard substrate,0.3816461493073985,0.38330234553431725,0.0016561962269187602,108065538
sand,0.7380681023401882,0.7387712827711053,0.0007031804309171052,72597241
other coral bleached,0.7044796159035099,0.7012510782365877,-0.0032285376669222154,2434515
dark,0.5008926349430114,0.49731448107017173,-0.0035781538728396622,30464925
branching alive,0.15598063885206945,0.14877547483833667,-0.007205164013732779,2044183
background,0.6806732860347054,0.6727605197264352,-0.007912766308270203,186894437
massive/meandering dead,0.15535802525396494,0.14730064865181258,-0.00805737660215236,9399692
human,0.6913736941001412,0.6821522093100274,-0.009221484790113754,14910111
rubble,0.48328243878012506,0.4732575775091553,-0.010024861270969743,46142226
millepora,0.6228203348871347,0.6041991946221209,-0.018621140265013825,3419710
sea urchin,0.2797489847042099,0.2574027123422034,-0.02234627236200648,447868
clam,0.3440673712293634,0.3185139951913291,-0.02555337603803426,527165
other coral dead,0.04624605187255809,0.020220138838722528,-0.026025913033835564,1054268
meandering alive,0.6788132063195369,0.6524964815422135,-0.026316724777323386,13541250
stylophora alive,0.2584838692288269,0.2120361364697595,-0.046447732759067384,437294
seagrass,0.46945340417778647,0.41341634176344266,-0.05603706241434381,2892895
transect tools,0.5194941022720282,0.4553611189744247,-0.06413298329760347,1239260
crown of thorn,0.45510450953720916,0.22518835318397692,-0.22991615635323223,223814
