Class,Baseline IoU,MTL Focused IoU,MTL Holistic IoU,Focused Δ,Holistic Δ,Best Model,Support
background,0.6806732860347054,0.6727605197264352,0.705770866111093,-0.007912766308270203,0.025097580076387516,MTL Holistic,186894437
unknown hard substrate,0.3816461493073985,0.38330234553431725,0.40232750110876053,0.0016561962269187602,0.020681351801362047,MTL Holistic,108065538
sand,0.7380681023401882,0.7387712827711053,0.7398621272261446,0.0007031804309171052,0.00179402488595648,MTL Holistic,72597241
algae covered substrate,0.42892235364055964,0.49916308164093365,0.5039357739968365,0.07024072800037401,0.0750134203562769,MTL Holistic,68937214
rubble,0.48328243878012506,0.4732575775091553,0.3934400405704319,-0.010024861270969743,-0.08984239820969314,Baseline,46142226
massive/meandering alive,0.6405270068154967,0.663517426250585,0.6734166375242974,0.022990419435088283,0.03288963070880069,MTL Holistic,40545023
dark,0.5008926349430114,0.49731448107017173,0.5060063938761473,-0.0035781538728396622,0.005113758933135926,MTL Holistic,30464925
other coral alive,0.3641734609629648,0.4119574196246357,0.4280084508024212,0.0477839586616709,0.0638349898394564,MTL Holistic,17700984
human,0.6913736941001412,0.6821522093100274,0.6904643853197513,-0.009221484790113754,-0.0009093087803898614,Baseline,14910111
meandering alive,0.6788132063195369,0.6524964815422135,0.7058818390848807,-0.026316724777323386,0.02706863276534377,MTL Holistic,13541250
massive/meandering dead,0.15535802525396494,0.14730064865181258,0.10279017919762598,-0.00805737660215236,-0.05256784605633896,Baseline,9399692
branching dead,0.26979670890479485,0.32333372462141413,0.317088489833081,0.053537015716619285,0.047291780928286176,MTL Focused,8396083
pocillopora alive,0.7290454498650112,0.737590090758831,0.7453396661723766,0.008544640893819788,0.016294216307365383,MTL Holistic,8169378
fish,0.5446527694663293,0.636779968168935,0.6561555074865272,0.09212719870260566,0.11150273802019783,MTL Holistic,5300718
massive/meandering bleached,0.4833751764160963,0.6136042871037671,0.7216209158358807,0.13022911068767085,0.23824573941978444,MTL Holistic,5219586
millepora,0.6228203348871347,0.6041991946221209,0.6222476439644005,-0.018621140265013825,-0.0005726909227342647,Baseline,3419710
transect line,0.6812881029729707,0.6991811944499129,0.7131806561255573,0.01789309147694218,0.031892553152586545,MTL Holistic,3125978
seagrass,0.46945340417778647,0.41341634176344266,0.47663903130795243,-0.05603706241434381,0.007185627130165961,MTL Holistic,2892895
acropora alive,0.3469864375056024,0.3868979732278516,0.387456189649595,0.0399115357222492,0.04046975214399262,MTL Holistic,2649019
meandering dead,0.08902521789030458,0.12659896172200932,0.10243571367083214,0.03757374383170474,0.013410495780527554,MTL Focused,2591307
other coral bleached,0.7044796159035099,0.7012510782365877,0.6971907766241776,-0.0032285376669222154,-0.0072888392793323264,Baseline,2434515
branching alive,0.15598063885206945,0.14877547483833667,0.13306336401246993,-0.007205164013732779,-0.022917274839599516,Baseline,2044183
branching bleached,0.31883473995032924,0.46121644915045557,0.3180194594555081,0.14238170920012633,-0.0008152804948211578,MTL Focused,1881143
table acropora alive,0.264474187503934,0.3287739472777617,0.478821484697006,0.06429975977382774,0.214347297193072,MTL Holistic,1429855
transect tools,0.5194941022720282,0.4553611189744247,0.532428232165358,-0.06413298329760347,0.01293412989332976,MTL Holistic,1239260
other coral dead,0.04624605187255809,0.020220138838722528,0.03380305380257058,-0.026025913033835564,-0.012442998069987513,Baseline,1054268
meandering bleached,0.29709764265545996,0.41429826712927353,0.4183416483334699,0.11720062447381357,0.12124400567800991,MTL Holistic,885850
sponge,0.2143995884435715,0.25600330929728027,0.22053767704363741,0.04160372085370878,0.006138088600065927,MTL Focused,856660
turbinaria,0.8344090740097395,0.8728535833957262,0.8468449586912242,0.03844450938598665,0.01243588468148471,MTL Focused,744072
table acropora dead,0.0007992670594756326,0.04010021750502464,0.05861010049126736,0.03930095044554901,0.057810833431791726,MTL Holistic,677933
clam,0.3440673712293634,0.3185139951913291,0.35292893720487944,-0.02555337603803426,0.008861565975516073,MTL Holistic,527165
sea urchin,0.2797489847042099,0.2574027123422034,0.37563055920413835,-0.02234627236200648,0.09588157449992846,MTL Holistic,447868
stylophora alive,0.2584838692288269,0.2120361364697595,0.3178419153820925,-0.046447732759067384,0.05935804615326562,MTL Holistic,437294
trash,0.0216956630925777,0.03508622785034442,0.0639198825247418,0.013390564757766718,0.0422242194321641,MTL Holistic,388031
anemone,0.29420124470366965,0.3385208799494928,0.3759247990263588,0.044319635245823163,0.08172355432268913,MTL Holistic,279176
other animal,0.09312745824965259,0.18798347195374984,0.25792466240227435,0.09485601370409726,0.16479720415262178,MTL Holistic,274090
crown of thorn,0.45510450953720916,0.22518835318397692,0.31379503383290563,-0.22991615635323223,-0.14130947570430352,Baseline,223814
sea cucumber,0.1828997344449264,0.20060887990452764,0.25918794196739814,0.017709145459601228,0.07628820752247173,MTL Holistic,119331
dead clam,0.0,0.03570071050554077,0.1400786225602115,0.03570071050554077,0.1400786225602115,MTL Holistic,75067
